國文,數學,英文
66,59,97
80,63,93
56,98,64
85,77,59
89,66,79
67,83,82
58,76,76
92,99,83
62,59,76
98,92,96
77,59,54
98,79,91
97,82,70
59,82,54
74,73,79
60,69,55
81,51,96
69,66,56
73,61,50
83,65,78
68,53,53
54,88,93
69,97,82
80,100,91
99,83,64
66,74,62
93,56,85
65,99,100
95,70,54
81,68,87
87,58,94
66,52,80
89,81,72
55,74,70
84,85,57
53,83,79
69,98,100
94,73,53
62,55,83
95,86,60
57,53,53
94,95,51
100,92,84
90,87,56
98,68,94
97,91,73
91,54,63
77,93,94
85,54,60
59,52,88
